diameterum,index,type,laser,sweepType,intrinsicQualityFactor,couplingQualityFactor,centerWavelengthnm,resnormFit
3.6,0,disc,New Focus,DC sweep,75143.5683493331,699989.707256501,1041.89805508888,-1
3.6,0,disc,New Focus,piezo sweep,35197.6025041452,503445.10193613,1041.84493718819,-1
3.6,0,disc,Santec,DC sweep,8091.14490676985,184161.420290196,1494.55357189179,0.0187036774157437
3.6,0,disc,Santec,DC sweep,3050.16382625267,11110.1632058695,1545.25821877309,51.607946676648
3.6,0,disc,Santec,DC sweep,6755.03481708729,237827.583858393,1585.30920190974,0.00398777738420975
3.6,0,disc,Santec,DC sweep,7559.99646048246,221913.069906217,1585.31765320546,0.00745845081469405
3.9,0,disc,New Focus,DC sweep,4279.15032386391,55064.9461874497,1030.51578080877,-1
3.9,0,disc,New Focus,DC sweep,15756.5323842573,251028.638787591,1030.93796565996,-1
3.9,0,disc,New Focus,DC sweep,11854.9640946911,105256.627260306,1050.38353186332,-1
3.9,0,disc,New Focus,DC sweep,19332.2440477621,187505.485076179,1055.32620697266,-1
3.9,0,disc,New Focus,piezo sweep,101958.559532437,207840.528126329,1054.39918,123.229848031695
3.9,0,disc,New Focus,piezo sweep,38496.5314441213,824578.18812863,1054.47748,-1
3.9,0,disc,New Focus,piezo sweep,102620.182669925,185608.155021134,1054.39918,-1
3.9,0,disc,New Focus,piezo sweep,78150.4317421402,580308.632727297,1054.47748,-1
3.9,0,disc,Santec,DC sweep,9514.84312390854,365415.699362365,1507.49607773263,-1
3.9,0,disc,Santec,DC sweep,25779.961910918,511350.908545017,1559.22921774854,0
3.9,0,disc,Santec,DC sweep,20139.3435268609,248649.798010905,1592.36315938838,0
3.9,0,disc,Santec,DC sweep,7913.16364146704,1038590.02424937,1636.39296789022,0.0177760890631227
4.2,0,disc,New Focus,DC sweep,48475.696888594,132364.58827693,1044.61664551289,0.0283488908031366
4.2,0,disc,New Focus,DC sweep,24771.7523453314,114543.381878842,1046.38220440322,-1
4.2,0,disc,New Focus,DC sweep,27805.9819416113,119969.049215742,1063.88547453552,-1
4.2,0,disc,New Focus,DC sweep,14079.74817828,531843.322283799,1064.08121710991,-1
4.2,0,disc,Santec,DC sweep,2076.72071029962,21482.2377002612,1490.50255627774,0.00635319185737637
4.2,0,disc,Santec,DC sweep,22069.1867987493,848665.850604912,1495.96440961168,-1
4.2,0,disc,Santec,DC sweep,34101.2903876613,1526856.91647457,1496.02298766357,-1
4.2,0,disc,Santec,DC sweep,32940.7074349078,1355579.29627599,1527.50080336054,-1
